id,Desk,Commodity,Trader Name,Trader Email,Quantity
48eecb91-01ec-55d6-9c17-854eddaef4f3,D-6338,Wheat,Mable French,dez@fu.hr,"73,191"
4cf522bb-01c0-58d0-a95a-b7f6fc71d4f6,D-8760,Rapeseed,Annie Collins,so@muibi.km,"12,206"
6489343e-48b9-5948-adc7-fde34874006f,D-7749,Rapeseed,Edna Garrett,gocauf@mi.tv,"63,558"
9a042a18-4b97-50cf-b9bb-938ef2cbc14e,D-1171,Corn,Myra Wade,suric@egi.ga,"38,016"
99246d3a-ec2a-5a2d-9ae5-900260010f55,D-4168,Corn,Wesley Holmes,ozsojofe@nar.iq,"50,134"
ccf81370-1de8-5146-b1bf-30ba151d0ed1,D-3578,Coffee C,Don Summers,ruh@der.jm,"90,338"
4b517305-c2c8-5582-8325-c9d7a8bf46e8,D-6577,Oats,Ina Bradley,he@gorogdak.me,"25,799"
38cb08d3-75ad-596b-9253-94f2a028ade1,D-2387,Cocoa,Lettie Rodriguez,kimed@meta.sg,"27,601"
cbc128a3-dff4-5934-a1a7-42f83b4a9c01,D-3145,Soybean Oil,Elsie Green,nootumu@kirima.uk,"72,092"
47e0a695-6b56-5368-8575-ceec5f50d8c3,D-8355,Robusta coffee,Rosa Buchanan,sog@tazi.vi,"67,508"
2567997b-61a0-5c41-9357-379ec9925158,D-382,Sugar No.11,Alfred Burke,igcocag@nagerado.be,"2,316"
4eececda-8b2f-501f-92a2-9c64186b3f68,D-2816,Adzuki bean,Justin Williams,uhohekesu@roon.sr,"72,191"
bbb56d73-5a1d-5ecf-8c09-ab58b4661d74,D-3288,Soybeans,Devin Phillips,wubuldac@mare.pw,"78,963"
66659706-c7ed-535e-93cd-4cd128db692b,D-9937,Soybean Meal,Hallie Bush,vuusvon@pojiape.ai,"74,409"
d758be32-4c08-543f-b6e7-185e7bed7998,D-3467,Cotton No.2,Allen Aguilar,keafe@unoiceve.vi,"2,702"
121bd425-5cd7-5466-8e1e-8b8d91e771e6,D-8643,Soybeans,Ruby Farmer,ef@hiupame.ma,"50,629"
aef48d20-8e4b-5af6-8047-158ed016b5e0,D-1432,Sugar No.14,Mittie Terry,jutozver@kellagjej.tf,"15,266"
c0e23f83-228b-5ec9-9f62-1b6757ac119b,D-5424,Milk,Francis Kelly,jiidce@da.io,"55,866"
a29f484f-e18e-5351-b198-d832b88f9991,D-2745,Corn,Loretta White,aclejih@zepulli.sg,"94,912"
6c1599b6-8919-55b0-ace6-6f69aceed3da,D-1775,Frozen Concentrated Orange Juice,Mittie Cain,opba@bo.in,"23,186"
9c1dff55-43ab-56d6-9561-7c136c577134,D-236,Rough Rice,Johnny Montgomery,miwpaji@ki.cn,"57,499"
ff9ceec8-e32c-5dec-a475-f07b32cbd93f,D-5272,Frozen Concentrated Orange Juice,Glen Osborne,zus@pi.rs,"4,286"
43433204-87ec-52d5-a282-147e5312c6c5,D-6523,Soybeans,Bernice Owens,litogwo@fo.bw,"42,857"
47037c9d-cd05-5001-9223-c4102bc41c03,D-3121,Sugar No.11,Grace Mathis,eb@lobi.ck,"41,946"
bbef1c19-cf12-5eec-9f83-a29041ac90be,D-3674,Frozen Concentrated Orange Juice,Connor Lowe,kizul@tuus.ml,"47,748"
cb615ffe-674e-5687-93ed-8e69b1aaa1c9,D-4200,Adzuki bean,Amanda Rowe,olhetiko@ma.ws,"73,033"
d4c476fc-335f-5a53-95c0-1c52e458ce96,D-9855,Sugar No.14,Lucile Edwards,suvenu@metuti.ye,"71,162"
10c687c2-de5e-5d1d-8413-0a5644179605,D-192,Cocoa,Mamie Baldwin,di@ejvubtu.ru,"33,036"
b5a71c88-db7b-5c42-8002-debdd316ef4a,D-2882,Oats,James Adams,pi@puwap.mw,"73,597"
04ba2f1d-e81a-54f4-b8cf-3c10d2807465,D-4988,Cotton No.2,Carolyn Bass,nac@oke.eu,"96,526"
163112a6-cb9e-5e39-8eb2-1f68bfd28e66,D-8904,Coffee C,Jessie Paul,ef@abwebwuf.uz,"14,860"
8fef7620-e294-5c0f-9a8f-ea64eed7a72b,D-282,Soybeans,Phillip Pearson,uhiamo@umi.gov,"31,383"
8613570a-e699-580b-9744-783e1fd9bf4d,D-7218,Frozen Concentrated Orange Juice,Bradley Weber,eto@ozete.cg,"29,235"
2c5701b0-f9bc-5536-a22d-a271b62806ab,D-1831,Coffee C,Bertie Mitchell,dit@lal.lt,"86,190"
d719ee10-1adc-5de2-b5d2-ce40c5750c37,D-563,Corn,Hallie Herrera,hupi@noomo.ne,"19,948"
